tier_rank,structured_id,source_record_id,historical_headword,historical_part_of_speech,modern_canonical_candidate,modern_part_of_speech_candidate,current_use_status,current_evidence_source_count,current_evidence_sources,current_corpus_frequency,sense_split_status,borrowing_status,review_decision,approved_canonical_spelling,approved_part_of_speech,approved_current_use_status,sense_review_decision,reviewer,review_date,review_notes
1,n1906-entry-001139,kha-n1906-001139,kyrteng,verb,kyrteng,verb,current_attested,4,khasi-ner-2026;meg-gov-aquaculture-kha;meg-gov-cid-advisory-kha;meg-gov-rti-kha,2427,needs_semantic_split,unassessed,approve,kyrteng,verb,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical verb form and current use. Additional noun use/POS expansion remains for semantic review; not final verified.
2,n1906-entry-000289,kha-n1906-000289,bynta,noun,bynta,noun,current_attested,3,khasi-ner-2026;meg-gov-aquaculture-kha;meg-gov-cid-advisory-kha,6968,single_historical_gloss,unassessed,approve,bynta,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form and current use. Historical gloss retained for later final semantic verification.
3,n1906-entry-000315,kha-n1906-000315,kaba,pronoun,kaba,pronoun,current_attested,1,khasi-ner-2026,33181,needs_semantic_split,unassessed,approve,kaba,pronoun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical form/current use with pronoun label retained provisionally. Relative/nominalizing grammatical functions require separate review.
4,n1906-entry-003278,kha-n1906-003278,snem,noun,snem,noun,current_attested,1,khasi-ner-2026,5717,needs_semantic_split,unassessed,approve,snem,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Multiple senses require semantic separation before final verification.
5,n1906-entry-000147,kha-n1906-000147,baroh,adjective,baroh,adjective,current_attested,1,khasi-ner-2026,5581,needs_semantic_split,unassessed,approve,baroh,adjective,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical form/current use with adjective label retained provisionally. Quantifier/determiner analysis remains open.
6,n1906-entry-000795,kha-n1906-000795,kren,verb,kren,verb,current_attested,1,khasi-ner-2026,4367,single_historical_gloss,unassessed,approve,kren,verb,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical verb form/current use. Final semantic verification remains separate.
7,n1906-entry-001377,kha-n1906-001377,nga,pronoun,nga,pronoun,current_attested,1,khasi-ner-2026,3443,needs_semantic_split,unassessed,approve,nga,pronoun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical pronoun form/current use. Historical OCR spill must not be promoted as a sense; semantic cleanup remains.
8,n1906-entry-000205,kha-n1906-000205,bnai,noun,bnai,noun,current_attested,1,khasi-ner-2026,2537,single_historical_gloss,unassessed,approve,bnai,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Month/moon sense structure requires final semantic review.
9,n1906-entry-002683,kha-n1906-002683,pyrthei,noun,pyrthei,noun,current_attested,1,khasi-ner-2026,1687,single_historical_gloss,unassessed,approve,pyrthei,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
10,n1906-entry-000910,kha-n1906-000910,kumno,adverb,kumno,adverb,current_attested,1,khasi-ner-2026,1285,single_historical_gloss,unassessed,approve,kumno,adverb,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adverb form/current use. Final semantic verification remains separate.
11,n1906-entry-002448,kha-n1906-002448,pdeng,noun,pdeng,noun,current_attested,1,khasi-ner-2026,1272,single_historical_gloss,unassessed,approve,pdeng,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
12,n1906-entry-000322,kha-n1906-000322,kaei,pronoun,kaei,pronoun,current_attested,1,khasi-ner-2026,1040,single_historical_gloss,unassessed,approve,kaei,pronoun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical pronoun form/current use. Final grammatical and semantic verification remains separate.
13,n1906-entry-000109,kha-n1906-000109,Balang,noun,Balang,noun,current_attested,1,khasi-ner-2026,959,needs_semantic_split,unassessed,revise,balang,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved with modern canonical spelling corrected to lowercase balang. Historical source spelling Balang is preserved as historical evidence; semantic split remains open.
14,n1906-entry-002105,kha-n1906-002105,masi,noun,masi,noun,current_attested,1,khasi-ner-2026,746,needs_semantic_split,unassessed,approve,masi,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Multiple senses remain for semantic review.
15,n1906-entry-000501,kha-n1906-000501,khia,adjective,khia,adjective,current_attested,1,khasi-ner-2026,568,needs_semantic_split,unassessed,approve,khia,adjective,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adjective form/current use. Semantic splitting remains for final linguistic review.
16,n1906-entry-003358,kha-n1906-003358,spah,noun,spah,noun,current_attested,1,khasi-ner-2026,559,needs_semantic_split,unassessed,approve,spah,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Multiple senses remain for semantic review.
17,n1906-entry-001418,kha-n1906-001418,hangne,adverb,hangne,adverb,current_attested,1,khasi-ner-2026,531,single_historical_gloss,unassessed,approve,hangne,adverb,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adverb form/current use. Final semantic verification remains separate.
18,n1906-entry-000993,kha-n1906-000993,kynmaw,verb,kynmaw,verb,current_attested,1,khasi-ner-2026,419,needs_semantic_split,unassessed,approve,kynmaw,verb,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical verb form/current use. Semantic splitting remains for final linguistic review.
19,n1906-entry-001983,kha-n1906-001983,lyngkot,adjective,lyngkot,adjective,current_attested,1,khasi-ner-2026,338,needs_semantic_split,unassessed,approve,lyngkot,adjective,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adjective form/current use. Multiple senses remain for semantic review.
20,n1906-entry-003262,kha-n1906-003262,slap,noun,slap,noun,current_attested,1,khasi-ner-2026,312,single_historical_gloss,unassessed,approve,slap,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
21,n1906-entry-000287,kha-n1906-000287,bynriew,noun,bynriew,noun,current_attested,1,khasi-ner-2026,260,needs_semantic_split,unassessed,approve,bynriew,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Semantic splitting remains for final linguistic review.
22,n1906-entry-002170,kha-n1906-002170,mrad,noun,mrad,noun,current_attested,1,khasi-ner-2026,195,needs_semantic_split,unassessed,approve,mrad,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Semantic splitting remains for final linguistic review.
